img,x,y,z,dis
18,-3.3768,6.1319,-4.3432,7.000212557487094
90,-2.3775,6.5841,-2.2206,7.000205644122179
64,-3.6222,5.9902,0.8729,7.000202059940841
74,4.0976,-5.6756,0.1087,7.000197220078874
16,-2.2651,6.6236,4.0418,7.000196780805521
15,2.3145,-6.6065,5.4095,7.000196604381908
53,1.2712,-6.8838,-2.2856,7.000189417437217
31,-1.4862,-6.8406,6.8707,7.000185626110211
97,-3.4333,6.1004,1.682,7.000173501421232
30,4.6243,5.2553,-0.5219,7.000166325166853
98,-6.8478,-1.4525,-3.2269,7.000151504789022
62,-0.0593,-6.9999,2.934,7.000151176938967
16,-2.6433,-6.4819,-1.0873,7.000147319878347
55,3.2076,6.222,-2.0338,7.000141552854485
74,5.8523,-3.8409,1.1299,7.000137720073798
95,5.3021,-4.5705,-4.3349,7.0001239031891425
7,3.579,-6.016,5.8436,7.0001069277547465
25,-0.6665,-6.9683,1.5918,7.000101937829192
99,0.5875,6.9754,2.1044,7.000097242895986
0,-0.644,-6.9704,6.2181,7.0000865823216785
69,6.9374,0.9347,-0.7227,7.000084488775832
35,2.9889,6.3299,-0.857,7.000082658083404
78,-0.9144,6.9401,-3.0687,7.000079668832348
72,-1.2553,-6.8866,0.8618,7.000074117464757
19,-1.1119,6.9112,3.4424,7.000071931773273
86,-6.5422,2.4901,5.8287,7.000069917507967
73,-6.9509,0.8282,6.0804,7.000066146116049
19,3.9187,5.8004,-3.4038,7.000060703308222
96,6.5408,-2.4937,0.0301,7.000043166295477
16,6.5949,-2.3468,6.5499,7.000012589274394
18,6.984,-0.4731,2.8845,7.000005686426261
25,-6.9803,-0.5248,-4.5337,7.0000002235714245
9,4.5967,-5.2792,0.1819,6.999971680657001
10,-0.5529,-6.9781,-1.4122,6.999969858506535
91,-6.89,1.2359,-3.48,6.999967772068668
95,2.6477,6.4799,-3.4216,6.99995852130568
39,-1.0654,-6.9184,1.1587,6.999952551267759
17,5.4855,4.3484,-3.4606,6.999949486246312
50,-4.2799,-5.5391,-5.7813,6.99994091546493
38,6.9968,-0.2096,-3.0957,6.9999387425891095
45,-5.2767,-4.5995,1.2214,6.999925938179632
50,-4.605,5.2719,0.293,6.999925328887445
94,-4.6461,-5.2357,-0.5243,6.9999142637606635
75,1.0166,-6.9257,-3.6676,6.99991400304318
39,-6.7291,-1.9282,-3.2912,6.9999101458518735
50,-3.7329,-5.9215,3.4305,6.999907475102796
35,4.2081,5.5938,-0.307,6.999907431530791
66,2.0801,-6.6837,0.4835,6.999904406490134
63,6.3193,-3.0108,1.6161,6.9998906512887755
87,2.0797,6.6838,-3.0224,6.9998810368462685
78,-4.6169,-5.2614,1.4279,6.999863967963949
57,6.8393,-1.4906,5.0866,6.999850916269574
6,0.2684,6.9947,5.8228,6.999847616198513
72,2.5725,6.51,6.3826,6.999846873325159
49,3.4639,-6.0827,-5.4128,6.9998458911607475
70,-6.5286,2.5249,2.3284,6.999838424563813
15,-1.7675,-6.773,0.6274,6.999827515732084
83,5.5469,4.2696,-1.6323,6.999827410015192
92,-2.4254,-6.5662,-1.4022,6.999824826379586
16,2.4547,-6.5553,-4.9682,6.999822153455043
89,-5.0271,4.8709,1.5689,6.999814370395832
